Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1000),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1000),Unit Price (@ Batch Size: 1000),Unit Price (@ Batch Size: 1000),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1000) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
1,MCP1702T-3302E/CB,Microchip,MCP1702T-3302E/CB,https://octopart.com/mcp1702t-3302e%2Fcb-microchip-535769,U6,,SOT-23-3,1000,MCP1702T-3302E/CBCT-ND,,MCP1702T-3302E/CB,Cut Tape,,,0.29964904200000003,,0.2909214,55156,,22356,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0b059a9&sid=459&ppid=535769&vpid=34018112&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0ea8b74&sid=2401&ppid=535769&vpid=37716473&ct=offers,Freelance Electronics,MCP1702T-3302E/CB,,0.0969738,0.0969738,96.9738,68,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=096d1ea&sid=13062&ppid=535769&vpid=44209608&ct=offers,
1,MCP1754ST-3302E/MB,Microchip,MCP1754ST-3302E/MB,https://octopart.com/mcp1754st-3302e%2Fmb-microchip-20575795,U11,,SOT-89-3,1000,MCP1754ST-3302E/MBTR-ND,,MCP1754ST-3302E/MB,Tape & Reel,,,0.3745613025,,0.36365175,3000,,1135,1000,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0685600&sid=459&ppid=20575795&vpid=44467121&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0b7ae3b&sid=2401&ppid=20575795&vpid=44234025&ct=offers,Distrelec,MCP1754ST-3302E/MB,,0.3200078663470183,0.3200078663470183,320.00786634701825,33,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0866ccc&sid=14389&ppid=20575795&vpid=53282659&ct=offers,
1,1N4148WS,Fairchild Semiconductor,1N4148WS,https://octopart.com/1n4148ws-fairchild+semiconductor-7851016,D1,,100V 150mA,1000,1N4148WSFSCT-ND,,1N4148WS,Cut Tape,,,0.02572230045,,0.025051565,204300,,65063,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=059a92d&sid=459&ppid=7851016&vpid=34028390&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=05cd967&sid=2401&ppid=7851016&vpid=37792678&ct=offers,TME,1N4148WS,,0.012929840000000001,0.012929840000000001,12.929840000000002,17903,30,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0de9469&sid=1532&ppid=7851016&vpid=198210752&ct=offers,
1,MCRSD16000F183000RR,Multicomp,MCRSD16000F183000RR,https://octopart.com/mcrsd16000f183000rr-multicomp-10528717,Q1,,16Mhz HC49,1000,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HSMH-C170,Avago,HSMH-C170,https://octopart.com/hsmh-c170-avago-550882,LED1,,Red Vf=1.8V,1000,516-1427-1-ND,,HSMH-C170,Cut Tape,,,0.081781238,,0.07596281,33765,,17341,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0e19168&sid=459&ppid=550882&vpid=252146907&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0945d82&sid=2401&ppid=550882&vpid=254908337&ct=offers,Halfin,84240,,0.05189316751573269,0.05189316751573269,51.89316751573269,2848,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0f1a774&sid=17765&ppid=550882&vpid=204296240&ct=offers,
1,MMBZ15VALT1G,ON Semiconductor,MMBZ15VALT1G,https://octopart.com/mmbz15valt1g-on+semiconductor-347883,"D2, D3, D4, D5, D6",,TSV 11.2A 3.3V,1000,MMBZ15VALT1GOSCT-ND,,MMBZ15VALT1G,Cut Tape,,,0.03735915645,,0.034748944999999996,393,,21592,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=07df630&sid=459&ppid=347883&vpid=1936676&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=044986a&sid=2401&ppid=347883&vpid=44862130&ct=offers,Avnet,MMBZ15VALT1G/BKN,,0.0114913953,0.0114913953,11.4913953,2133,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=04d1729&sid=5822&ppid=347883&vpid=22430615&ct=offers,
1,MCEMR-02-T,Multicomp,MCEMR-02-T,https://octopart.com/mcemr-02-t-multicomp-7505473,S3,,DIP switch,1000,,,,,,,,,,,,,,,,,,,element14 APAC,1524005,,0.51209007515093,0.51209007515093,512.0900751509299,16960,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00838d7&sid=11744&ppid=7505473&vpid=132454549&ct=offers,
1,73251-2120,Molex,73251-2120,https://octopart.com/73251-2120-molex-1274118,J$1,,SMA ant edge 50ohm,1000,,,73251-2120,,,,,,1.6243111499999998,,,3619,,,,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=07382dd&sid=2401&ppid=1274118&vpid=38973700&ct=offers,Mouser,73251-2120,,1.6243111499999998,1.6243111499999998,1624.3111499999998,3619,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=07382dd&sid=2401&ppid=1274118&vpid=38973700&ct=offers,
1,DS1104-BN0SR,Connfly,DS1104-BN0SR,https://octopart.com/ds1104-bn0sr-connfly-30737571,U10,Rapid 24-0357,USB MiniB Socket 5 Pin Female SMT,1000,,,,,,,,,,,,,,,,,,,TME,MUSB-G5P,,0.154349965,0.154349965,154.349965,16792,2,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d375a7&sid=1532&ppid=30737571&vpid=88575751&ct=offers,Rapid TruConnect 24-0357
3,STX-3120-5B,Kycon,STX-3120-5B,https://octopart.com/stx-3120-5b-kycon-759061,"CT1, CT2, CT3",,BLACK 3.5mm switched 3.5mm jack socket,3000,,,STX-3120-5B,,,,,,0.48002031,,,4038,,,,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=089389c&sid=2401&ppid=759061&vpid=37602478&ct=offers,Quest,STX-3120-5B,,0.2909214,0.8727642,872.7642000000001,130,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=044a899&sid=2412&ppid=759061&vpid=50907500&ct=offers,
1,STX-3120-5B-284C,Kycon,STX-3120-5B-284C,https://octopart.com/stx-3120-5b-284c-kycon-760430,CT4,,BLUE 3.5mm switched 3.5mm jack socket,1000,,,STX-3120-5B-284C,,,,,,0.36607609500000005,,,2842,,,,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0389c5b&sid=2401&ppid=760430&vpid=38363197&ct=offers,Mouser,STX-3120-5B-284C,,0.36607609500000005,0.36607609500000005,366.07609500000007,2842,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0389c5b&sid=2401&ppid=760430&vpid=38363197&ct=offers,
1,M20-9980346,Harwin,M20-9980346,https://octopart.com/m20-9980346-harwin-5436545,ISP1,,PIN HEADER STRAIGHT 6 WAY DIL 2.54MM (2X3),1000,952-2121-ND,,M20-9980346,Bulk,,,0.088731027,,0.08889265,36203,,6952,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=042b465&sid=459&ppid=5436545&vpid=58220056&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=098b49d&sid=2401&ppid=5436545&vpid=37787051&ct=offers,element14 APAC,1022231,,0.08336350060596534,0.08336350060596534,83.36350060596534,26087,10,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0418eaf&sid=11744&ppid=5436545&vpid=132290740&ct=offers,
1,MC34751,Multicomp,MC34751,https://octopart.com/mc34751-multicomp-11931879,JP1,,PIN HEADER RIGHT-ANGLE 6 PIN – FTDI (1X6),1000,,,,,,,,,,,,,,,,,,,MCM Electronics,27-12193,,0.22627220000000003,0.22627220000000003,226.27220000000003,80,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00dc42b&sid=871&ppid=11931879&vpid=228644709&ct=offers,
1,DTSA-63K-V,Diptronics,DTSA-63K-V,https://octopart.com/dtsa-63k-v-diptronics-25519077,S1,Rapid  78-1154,Right-angle push button thu-hole,1000,,,,,,,,,,,,,,,,,,,Rutronik,SWITCH6930,,0.06607729997003298,0.06607729997003298,66.07729997003298,0,1000,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0ce0e97&sid=18993&ppid=25519077&vpid=87893411&ct=offers,
1,PP000723,Pro-Power,PP000723,https://octopart.com/pp000723-pro-power-55834557,ANT1,,"100m Whip Antenna 22AWG, WHITE - 165mm 433Mhz",1000,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CTB3051/6BK,Boss Enclosures,CTB3051/6BK,https://octopart.com/ctb3051%2F6bk-boss+enclosures-71239123,"J3, J5, J6",Rapid: 21-4709,TERMINAL BLOCK 3.5MM PITCH 6 WAY,1000,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MTJ-881X1,Multicomp,MTJ-881X1,https://octopart.com/mtj-881x1-multicomp-10438668,U$13,,RJ45 socket,1000,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BH-331P,,,,3 x AA holder,Rapid: 18-2967,TruPower BH-331P 3 x AA battery holder,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TruConnect 20-0970,,,,CN1,Rapid: 20-0970,2.1mm DC barrel jack,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2211S-02G,Multicomp,2211S-02G,https://octopart.com/2211s-02g-multicomp-8047787,JP2,,2 pin 2.54mm jumper pins,1000,,,,,,,,,,,,,,,,,,,element14 APAC,1593411,,0.007939381010091938,0.007939381010091938,7.939381010091938,331790,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0dc19fc&sid=11744&ppid=8047787&vpid=132421121&ct=offers,
1,SPC20480,Multicomp,SPC20480,https://octopart.com/spc20480-multicomp-22002466,JP2 (closed jumper),,closed jumper,1000,,,,,,,,,,,,,,,,,,,element14 APAC,2112496,,0.08222930331880934,0.08222930331880934,82.22930331880934,42102,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0276277&sid=11744&ppid=22002466&vpid=132487411&ct=offers,
